run,name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
act100k_pair,act100k_pair,1,red,left,put the red block in the left bowl,0,no_reach,45.4,hovers on the right side near red bowl in the middle of the mat and twitches,2026-09-09T20:37:10,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,2,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.5,"missed initial grasp and pushed block further away, never recovered",2026-09-09T20:38:18,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,3,red,left,put the red block in the left bowl,0,no_reach,44.4,hovers on the right side near red bowl and twitches,2026-09-09T20:39:18,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.5,"touched graps but missed initial grip, hovered over bowl empty but nevr recovered for second grip",2026-09-09T20:40:28,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,5,red,left,put the red block in the left bowl,0,touch_no_grip,44.6,touched block but missed grip,2026-09-09T20:41:39,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,6,blue,right,put the blue block in the right bowl,0,no_reach,44.4,hovers over middle of mat and never grips,2026-09-09T20:42:39,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,44.7,"approached block from straight up, pushed block out of mat with misapplied pressure",2026-09-09T20:44:02,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,44.6,close to block but keeps missing grip with offset,2026-09-09T20:45:04,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,9,red,left,put the red block in the left bowl,1,,44.5,"barely grips edge of block, barely clears edge of bowl but successfully drops in",2026-09-09T20:46:03,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,10,blue,right,put the blue block in the right bowl,0,no_reach,44.4,"gravitates towards and gets stuck on right side of mat, never touches block",2026-09-09T20:47:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,44.3,hovers around block but never grips properly,2026-09-09T20:48:22,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,12,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.3,"touches block, very close but positioning slightly off resulting in no grip",2026-09-09T20:49:26,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,13,red,left,put the red block in the left bowl,0,touch_no_grip,44.7,"very close but unable to grip block, touched a few times",2026-09-09T20:50:25,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,14,blue,right,put the blue block in the right bowl,1,,44.4,"missed initial grip, repositioned and regripped before dropping in bowl",2026-09-09T20:51:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,15,red,left,put the red block in the left bowl,1,,44.5,gripped block around edges but picked up successfully,2026-09-09T20:52:26,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,16,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.3,"pushed away a few times, unable to grip properly",2026-09-09T20:53:23,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,17,red,left,put the red block in the left bowl,1,,44.2,block was close to default position but pretty clean pickup,2026-09-09T20:54:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,44.2,"hovers over center of mat and twitches, never approaches block",2026-09-09T20:55:27,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,19,red,left,put the red block in the left bowl,0,drop,44.3,"picks up block but does not move high enough to clear edge of bowl, pushes bowl sideways and drops block outside of bowl",2026-09-09T20:56:45,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,act100k_pair,20,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.8,touches block but struggles to pick up properly,2026-09-09T20:57:45,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
smolvla100_pair,smolvla100_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,61.8,"touched block but missed grip. kept trying, obviously better than act, but no recovery. very clear that it's executing chunks at a time without refreshing based on real time information",2026-09-09T10:51:31,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,2,blue,right,put the blue block in the right bowl,1,,60.0,"Missed grip initially, solid recovery as it returned to pick it up a second time and placed in bowl",2026-09-09T10:53:04,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,3,red,left,put the red block in the left bowl,0,touch_no_grip,59.7,"on the edge of the gripper's reach, didn't fully extend and struggled to place grippers around block properly",2026-09-09T10:54:38,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,59.5,"missed initial grip. interesting because it seems like the arm was blocking the overhead camera, it wasn't until the arm reeset that it realized it hadn't picked up the grip and tried again but timed out",2026-09-09T10:56:18,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,5,red,left,put the red block in the left bowl,1,,59.9,"barely grips on to cube on the edge but completes successfully. did not grasp on first try, fiddled with grip a bit",2026-09-09T10:59:02,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,6,blue,right,put the blue block in the right bowl,1,,59.6,"clean one shot, grips first try",2026-09-09T11:06:28,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,62.0,"misses grip first time, struggles to correct. tricky position since close to right bowl",2026-09-09T11:07:59,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,8,blue,right,put the blue block in the right bowl,0,timeout,60.8,"struggled to grip and returned to baseline. once returned to base, realized it hadn't picked it up and the second time it did pick it up first try but timed out before it could put into bowl",2026-09-09T11:09:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,9,red,left,put the red block in the left bowl,0,no_reach,59.7,"struggles to pick up block, twitches and tries to grip at some offset to block but never touches",2026-09-09T11:11:24,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,10,blue,right,put the blue block in the right bowl,1,,60.6,grabs first try pretty clean one shot,2026-09-09T11:12:42,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,61.0,missed grip. this run the arm also spent a lot of time buffering at base position so it didn't have a chance to try to readjust,2026-09-09T11:14:34,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,12,blue,right,put the blue block in the right bowl,1,,60.3,"pretty clean one shot; gripped the block along its edges, one of the harder grasps, still a clean success",2026-09-09T11:16:01,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,13,red,left,put the red block in the left bowl,1,,59.7,"straight forward one shot success, picked up first try",2026-09-09T11:18:02,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,14,blue,right,put the blue block in the right bowl,0,other,60.2,"tried to grip block along edges again, applied pressure in an imbalanced way and block shot off the table out of bounds so it couldn't have recovered",2026-09-09T11:20:10,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,15,red,left,put the red block in the left bowl,0,no_reach,59.4,Grip buffers at some offset to block as it tries to pick it up,2026-09-09T11:22:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,16,blue,right,put the blue block in the right bowl,1,,61.0,straight forward picked up first try,2026-09-09T11:24:22,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,17,red,left,put the red block in the left bowl,0,touch_no_grip,60.9,"missed initial grip then struggled to recover, grip flickers at some offset to block",2026-09-09T11:25:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,59.5,tries to grip at some offset to block,2026-09-09T11:27:16,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,19,red,left,put the red block in the left bowl,1,,64.8,gripper pushes block slightly but recovers and grasps second try,2026-09-09T11:28:35,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,smolvla100_pair,20,blue,right,put the blue block in the right bowl,1,,61.4,grasps first try after some tinkering,2026-09-09T11:30:23,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,1,red,left,put the red block in the left bowl,1,,63.8,"good attempt, grasped first try, moved into correct bowl",2026-09-09T22:06:55,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,2,blue,right,put the blue block in the right bowl,1,,62.7,"grasped first try albeit along a slim corner, dropped into correct bowl",2026-09-09T22:08:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,3,red,right,put the red block in the right bowl,0,no_reach,63.7,failed to reach or grip block on edge of mat,2026-09-09T22:14:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,4,blue,left,put the blue block in the left bowl,1,,63.2,"solid run, picked up block first try and deposited into correct bowl",2026-09-09T22:16:04,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,5,red,left,put the red block in the left bowl,1,,63.2,"initially missed grip, recovered second attempt and dropped into correct bowl",2026-09-09T22:17:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,6,blue,right,put the blue block in the right bowl,1,,63.4,successful first grip and deposited into correct bowl,2026-09-09T22:19:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,7,red,right,put the red block in the right bowl,1,,64.0,successful grip first try and deposited into correct bowl,2026-09-09T22:20:55,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,8,blue,left,put the blue block in the left bowl,0,no_reach,62.7,Hovers just above block and gripper twitches. Block is at far edge of mat,2026-09-09T22:22:28,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,9,red,left,put the red block in the left bowl,0,touch_no_grip,62.7,"far edge of gripper touches block but offset and not positioned correctly, gripper flickers but never grasps",2026-09-09T22:25:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,10,blue,right,put the blue block in the right bowl,1,,62.9,pickup was clean and dropped into correct bowl,2026-09-09T22:26:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,11,red,right,put the red block in the right bowl,0,touch_no_grip,62.7,touches block but struggles to position correctly for grip,2026-09-09T22:28:18,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,12,blue,left,put the blue block in the left bowl,1,,61.9,picked up first try and placed into bowl,2026-09-09T22:33:21,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,13,red,left,put the red block in the left bowl,1,,61.7,gripped first try and dropped into correct bowl,2026-09-09T22:34:37,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,14,blue,right,put the blue block in the right bowl,1,,61.3,"picked up first try, correct bowl",2026-09-09T22:36:12,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,15,red,right,put the red block in the right bowl,0,touch_no_grip,62.0,"missed initial grip, incremental adjustments were insufficient",2026-09-09T22:37:40,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,16,blue,left,put the blue block in the left bowl,0,touch_no_grip,61.5,"initial grip fails, pushes block away, gripper keeps trying to close at some offset to block and never recovers",2026-09-09T22:39:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,17,red,left,put the red block in the left bowl,0,no_reach,60.7,"gripper moves to some offset to block, grippers twitch but not oriented correctly",2026-09-09T22:40:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,18,blue,right,put the blue block in the right bowl,0,no_reach,63.9,"gripper misses original grip, then returns to some offset to block and continues attempting to grip",2026-09-09T22:42:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,19,red,right,put the red block in the right bowl,0,touch_no_grip,62.2,"misses first grip due to off angle block positioning, attempts again 2-3 times but does not grip",2026-09-09T22:43:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,20,blue,left,put the blue block in the left bowl,0,drop,62.0,"gripped block, released too early and dropped just short of bowl, attempted to recover at some offset to block and never gripped again",2026-09-09T22:45:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
